rank,title,daily_time,daily_pageviews
1,Google.com,17:29,18.51
2,Naver.com,15:13,13.10
3,Youtube.com,19:33,10.57
4,Daum.net,12:09,8.66
5,Tistory.com,5:56,4.03
6,Kakao.com,4:36,5.10
7,Tmall.com,7:01,3.85
8,Coupang.com,8:36,7.42
9,Google.co.kr,3:31,5.24
10,Facebook.com,17:57,8.58
11,Amazon.com,11:02,9.96
12,Namu.wiki,5:58,4.11
13,Netflix.com,4:46,3.58
14,Sohu.com,3:39,4.57
15,Qq.com,3:49,3.89
16,Wikipedia.org,3:41,3.07
17,Taobao.com,4:18,3.48
18,Jd.com,3:34,4.38
19,360.cn,3:15,4.16
20,Baidu.com,5:18,4.97
21,11st.co.kr,5:36,5.40
22,Dcinside.com,8:14,3.31
23,Microsoft.com,4:38,3.41
24,Yahoo.com,5:13,4.83
25,Adobe.com,3:51,3.60
26,Office.com,12:42,11.45
27,Gmarket.co.kr,4:29,5.43
28,Instagram.com,8:59,11.20
29,Zoom.us,6:44,3.61
30,Nate.com,5:35,8.41
31,Cafe24.com,15:07,13.50
32,Fmkorea.com,12:14,17.00
33,Apple.com,3:53,3.85
34,Twitch.tv,8:27,4.19
35,Donga.com,5:53,6.72
36,Weibo.com,2:49,3.39
37,Sina.com.cn,2:51,3.37
38,Ruliweb.com,9:57,13.80
39,Chosun.com,2:46,1.94
40,Bing.com,2:52,2.67
41,Danawa.com,5:06,6.95
42,Auction.co.kr,3:36,4.50
43,Aliexpress.com,9:54,8.18
44,Stackoverflow.com,6:05,3.82
45,Amazon.co.uk,7:13,5.94
46,Jobkorea.co.kr,5:51,5.70
47,Hankyung.com,2:16,2.54
48,Yna.co.kr,4:21,3.77
49,Inven.co.kr,6:18,6.41
50,Ebay.com,9:60,7.80
