rank,title,writer,link
1위,거꾸로 읽는 세계사,유시민 저,http://www.yes24.com/Product/Goods/104409067
2위,트렌드 코리아 2022,"김난도,전미영 등저",http://www.yes24.com/Product/Goods/103737985
3위,주술회전 17권 + 2022 캘린더 세트,아쿠타미 게게 글그림/이정운 역,http://www.yes24.com/Product/Goods/105031367
4위,이상한 과자 가게 전천당 12,히로시마 레이코 글/쟈쟈 그림/김정화 역,http://www.yes24.com/Product/Goods/104985558
5위,그냥 하지 말라,송길영 저,http://www.yes24.com/Product/Goods/103841300
6위,NFT 레볼루션,"성소라,롤프 회퍼,스콧 맥러플린 저",http://www.yes24.com/Product/Goods/103417076
7위,주식투자 절대 원칙,박영옥 저,http://www.yes24.com/Product/Goods/104431794
8위,달러구트 꿈 백화점 2,이미예 저,http://www.yes24.com/Product/Goods/102789938
9위,웰씽킹,켈리 최 저 ,http://www.yes24.com/Product/Goods/104866527
10위,주술회전 17 일반판 ,아쿠타미 게게 글그림/이정운 역,http://www.yes24.com/Product/Goods/105031390
